laboratorios Laproff -  -  - Antioquia
GFB PRO 300 (CN018022)
Historial de eventos

'Rango : 'Por tiempo:' (02-01-2022 10:01:59 ... 05-18-2022 11:01:59)
'Filtro :   usuarios = 'Todos los usuarios'  Eventos = 'Todos los eventos'

Marca de tiempo,Evento
03-15-2022 15:34:44,'valor cambió  (Operación 2) - Límite de alarma mínimo Desde 45 °C a 0 °C - por jm (thats me)
03-15-2022 15:35:00,'valor cambió  (Operación 2) - Límite de alarma máximo Desde 0 °C a 20 °C - por jm (thats me)
03-15-2022 15:35:36,'valor cambió  (Operación 2) - Límite de alarma máximo Desde 0 °C a 0 °C - por jm (thats me)
03-15-2022 15:35:37,'valor cambió  (Operación 2) - Límite de alarma máximo Desde 20 °C a 0 °C - por jm (thats me)
03-15-2022 15:36:10,'valor cambió  (Operación 2) - Límite de alarma mínimo Desde 0 °C a 40 °C - por jm (thats me)
03-15-2022 15:36:47,'valor cambió  (Operación 2) - Límite de alarma mínimo Desde 40 °C a 0 °C - por jm (thats me)
03-15-2022 15:37:03,'valor cambió  (Operación 2) - Límite de alarma máximo Desde 0 °C a 20 °C - por jm (thats me)
03-15-2022 15:37:41,'valor cambió  (Operación 2) - Límite de alarma máximo Desde 20 °C a 0 °C - por jm (thats me)
03-15-2022 15:38:01,'valor cambió  (Operación 2) - Punto Establecido Desde 0 a 1 - por jm (thats me)
03-15-2022 15:38:09,'valor cambió  (Operación 3) - Punto Establecido Desde 0 a 1 - por jm (thats me)
03-15-2022 15:41:11,'valor cambió  (Operación 2) - Límite de alarma máximo Desde 0 % a 2 % - por jm (thats me)
03-15-2022 15:41:36,'receta pausada en operación 2 (Refrigeracion/ Calefaccion)
03-15-2022 15:42:19,'receta iniciada en operación 2 (Refrigeracion/ Calefaccion)
03-15-2022 15:42:26,'valor cambió  (Operación 2) - Límite de alarma máximo Desde 2 % a 0 % - por jm (thats me)
03-15-2022 15:43:03,'valor cambió  (Operación 2) - Límite de alarma mínimo Desde 0 % a 10 % - por jm (thats me)
03-15-2022 15:43:04,'receta pausada en operación 2 (Refrigeracion/ Calefaccion)
03-15-2022 15:43:32,'valor cambió  (Operación 2) - Límite de alarma mínimo Desde 10 % a 0 % - por jm (thats me)
03-15-2022 15:45:59,'receta detenida en operación 2 (Refrigeracion/ Calefaccion)
03-15-2022 15:50:23,'valor cambió  (Operación 1) - Punto Establecido Desde 45 % a 20 % - por jm (thats me)
03-15-2022 15:50:33,'valor cambió  (Operación 1) - Punto Establecido Desde 40 % a 75 % - por jm (thats me)
03-15-2022 15:50:51,'valor cambió  (Operación 1) - Punto Establecido Desde 20 % a 30 % - por jm (thats me)
