laboratorios Laproff -  -  - Antioquia
GFB PRO 300 (CN018022)
Historial de eventos

'Rango : 'Por tiempo:' (01-29-2025 05:48:48 ... 02-05-2025 06:48:48)
'Filtro :   usuarios = 'Todos los usuarios'  Eventos = 'Todos los eventos'

Marca de tiempo,Evento
01-29-2025 16:28:18,'valor cambió  (Operación 2) - Punto Establecido Desde 100 % a 85 % - por linaro (Lina Rios Otalvaro)
01-29-2025 16:31:18,'el cambio manual de una operación a la operación 1 (Precalentamiento)
01-29-2025 16:31:28,'valor cambió  (Operación 1) - Punto Establecido Desde 70 °C a 35 °C - por linaro (Lina Rios Otalvaro)
01-29-2025 16:31:36,'receta iniciada en operación 1 (Precalentamiento)
01-29-2025 16:33:01,'valor cambió  (Operación 1) - Val. de paso Desde 10 hh:mm:ss a 30 hh:mm:ss - por linaro (Lina Rios Otalvaro)
01-29-2025 16:39:40,'valor cambió  (Operación 1) - Punto Establecido Desde 35 °C a 40 °C - por linaro (Lina Rios Otalvaro)
01-29-2025 16:43:50,'receta detenida en operación 1 (Precalentamiento)
01-29-2025 16:45:16,'el cambio manual de una operación a la operación 6 (Descarga)
01-29-2025 16:45:44,'el cambio manual de una operación a la operación 1 (Precalentamiento)
01-29-2025 16:58:31,'valor cambió  (Operación 1) - Punto Establecido Desde 40 °C a 70 °C - por linaro (Lina Rios Otalvaro)
01-29-2025 16:58:37,'Cerrar proceso
01-29-2025 19:55:00,'valor cambió Válvula de drenaje de la torre - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 19:55:05,'valor cambió Control de encendido / apagado - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 19:55:11,'valor cambió Válvula de drenaje de la torre - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 19:55:43,'valor cambió Válvula de drenaje de la torre - Mando Desde Encendido a Apagado - por linaro (Lina Rios Otalvaro)
01-29-2025 19:58:40,'valor cambió Modo de servicio - Mando Desde Apagado a Encendido - por linaro (Lina Rios Otalvaro)
01-29-2025 20:00:29,'valor cambió Válvula de carga (V203010) - Modo de servicio Desde Cerrado a Abrir - por linaro (Lina Rios Otalvaro)
01-29-2025 20:00:46,'valor cambió Válvula de carga (V203010) - Modo de servicio Desde Abrir a Cerrado - por linaro (Lina Rios Otalvaro)
01-29-2025 20:04:41,'valor cambió Válvula de ventilación de la bomba dosificadora  (V401620) - Modo de servicio Desde Cerrado a Abrir - por linaro (Lina Rios Otalvaro)
01-29-2025 20:05:48,'valor cambió Válvula de ventilación de la bomba dosificadora  (V401620) - Modo de servicio Desde Abrir a Cerrado - por linaro (Lina Rios Otalvaro)
01-29-2025 20:08:12,'valor cambió Válvula de detergente (V401640) - Modo de servicio Desde Cerrado a Abrir - por linaro (Lina Rios Otalvaro)
01-29-2025 20:08:35,'valor cambió Válvula de detergente (V401640) - Modo de servicio Desde Abrir a Cerrado - por linaro (Lina Rios Otalvaro)
01-29-2025 20:09:26,'valor cambió Válvula de detergente (V401640) - Modo de servicio Desde Cerrado a Abrir - por linaro (Lina Rios Otalvaro)
01-29-2025 20:10:13,'valor cambió Válvula de detergente (V401640) - Modo de servicio Desde Abrir a Cerrado - por linaro (Lina Rios Otalvaro)
01-29-2025 20:13:24,'valor cambió Válvula de drenaje de los suministros del WIP (V401890) - Modo de servicio Desde Cerrado a Abrir - por linaro (Lina Rios Otalvaro)
01-29-2025 20:13:58,'valor cambió Válvula de drenaje de los suministros del WIP (V401890) - Modo de servicio Desde Abrir a Cerrado - por linaro (Lina Rios Otalvaro)
01-29-2025 20:17:21,'valor cambió Válvula de línea de lavado derecha de filtros (V401910) - Modo de servicio Desde Cerrado a Abrir - por linaro (Lina Rios Otalvaro)
01-29-2025 20:17:34,'valor cambió Válvula de línea de lavado derecha de filtros (V401910) - Modo de servicio Desde Abrir a Cerrado - por linaro (Lina Rios Otalvaro)
01-29-2025 20:21:38,'valor cambió Válvula de línea de lavado del expansor (V401920) - Modo de servicio Desde Cerrado a Abrir - por linaro (Lina Rios Otalvaro)
01-29-2025 20:21:56,'valor cambió Válvula de línea de lavado del expansor (V401920) - Modo de servicio Desde Abrir a Cerrado - por linaro (Lina Rios Otalvaro)
01-29-2025 20:22:27,'valor cambió Válvula de lavado del pleno (V401930) - Modo de servicio Desde Cerrado a Abrir - por linaro (Lina Rios Otalvaro)
01-29-2025 20:22:29,'valor cambió Válvula de lavado del pleno (V401930) - Modo de servicio Desde Abrir a Cerrado - por linaro (Lina Rios Otalvaro)
01-29-2025 20:23:10,'valor cambió Válvula de línea de lavado del expansor (V401920) - Modo de servicio Desde Cerrado a Abrir - por linaro (Lina Rios Otalvaro)
01-29-2025 20:24:05,'valor cambió Válvula de línea de lavado del expansor (V401920) - Modo de servicio Desde Abrir a Cerrado - por linaro (Lina Rios Otalvaro)
